Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
JPN,LVA,,,,,,,,,,,,,,,,,,,5,8,11,14,14,14,8,8,8,8,8,7,7,18,18,15,0
LVA,USA,,,,,,,,,,,,,,,,,,,5,8,11,14,14,14,8,8,8,8,8,7,7,18,18,17,15
